game,set,qwen3.5-2b,qwen3.5-4b,qwen3.5-9b,qwen3.5-27b,llama-3.1-8b-instruct,LLP: Large Language Problems__qwen3.5-9b__llp-final ,DAIR__qwen3.5-2b__sft-v1 ,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1 ,DAIR__qwen3.5-2b__sft-dpo-v2 ,Bentel rockers__qwen3.5-4b__Bentel_iter ,Bentel rockers__qwen3.5-4b__Bentel_iter_2 ,Bentel rockers__qwen3.5-4b__Bentel_iter_3 ,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,Dialogue Architects__qwen3.5-9b__ScoRe_Qwen3.5-9B,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n
playpen_eval,static+clem,0:19:23,2:30:07,0:29:36,1:12:03,0:16:45,00:30:12,0:32:07,0:16:06,0:15:12,0:41:24,0:23:28,0:42:10,0:15:00,0:25:00,13:10:58,8:36:43
adventuregame,ID,2:44:36,0:29:49,0:34:04,0:51:22,0:30:00,0:14:16,0:02:41,0:02:44,0:02:21,0:06:52,0:04:01,0:06:06,0:03:52,0:07:01,1:37:05,3:02:37
clean_up,ID,0:08:54,1:30:55,1:23:51,0:57:59,0:08:00,0:09:37,0:06:54,0:06:07,0:05:43,1:26:00,0:04:35,1:24:32,0:12:06,0:44:56,3:05:20,4:47:50
codenames,ID,0:13:30,0:01:33,0:00:53,0:18:24,0:03:31,0:04:20,0:02:53,0:02:50,0:04:15,0:10:52,0:01:19,0:10:44,0:06:48,0:00:55,2:03:20,1:05:37
dond,ID,1:19:37,0:16:16,0:33:51,0:09:33,0:03:02,0:01:26,0:02:19,0:01:41,0:00:58,0:11:08,0:02:10,0:10:21,0:00:44,0:22:00,0:51:51,0:36:49
guesswhat,ID,0:00:15,0:00:22,0:00:22,0:02:58,0:01:47,0:00:30,0:01:28,0:01:00,0:01:11,0:00:44,0:01:12,0:00:46,0:00:24,0:00:22,0:16:05,0:25:16
imagegame,ID,0:13:43,0:04:18,0:05:51,0:04:05,0:04:50,0:02:04,0:02:10,0:02:01,0:02:04,0:03:50,0:03:59,0:03:50,0:01:09,0:05:32,0:54:44,0:57:49
matchit_ascii,ID,0:02:46,0:08:19,0:07:22,0:10:31,0:03:21,0:08:25,0:03:07,0:02:57,0:03:03,0:16:23,0:04:40,0:17:49,0:03:04,0:07:46,1:45:09,1:33:48
privateshared,ID,0:01:20,0:24:45,0:15:13,0:49:17,0:14:45,0:25:42,0:09:16,0:17:14,0:08:00,0:30:37,0:22:05,0:30:07,0:08:18,0:14:42,3:08:59,3:54:21
referencegame,ID,0:13:25,0:01:12,0:01:28,0:01:49,0:01:47,0:01:14,0:00:44,0:00:37,0:01:11,0:01:25,0:00:49,0:01:27,0:00:41,0:01:14,0:15:14,0:26:57
taboo,ID,0:00:36,0:44:45,0:05:04,0:01:10,0:00:42,0:00:35,0:00:33,0:00:33,0:00:33,0:02:33,0:00:50,0:02:32,0:00:35,0:00:46,0:11:24,0:18:16
textmapworld,ID,0:01:14,0:50:12,0:01:14,0:01:28,0:01:24,0:00:37,0:00:38,0:00:29,0:00:53,0:00:15,0:00:22,0:00:15,0:00:15,0:01:09,0:07:47,0:20:44
textmapworld_graphreasoning,ID,0:10:43,0:04:22,0:02:53,0:09:35,0:08:56,0:06:02,0:05:29,0:05:50,0:05:35,0:02:55,0:10:49,0:02:28,0:01:14,0:03:24,0:46:45,3:50:23
textmapworld_specificroom,ID,0:00:44,0:22:02,0:00:29,0:00:29,0:00:25,0:00:09,0:00:09,0:00:09,0:00:20,0:00:17,0:00:20,0:00:24,0:00:06,0:00:25,0:03:39,0:12:22
wordle,ID,0:01:22,0:42:02,0:39:23,1:34:24,0:01:32,0:47:05,0:29:56,0:02:28,0:35:54,1:00:27,0:01:42,0:59:31,0:16:49,0:43:30,12:43:27,2:04:38
wordle_withclue,ID,0:09:57,0:28:32,0:25:43,0:51:41,0:07:08,0:22:00,0:25:31,0:00:12,0:16:54,0:24:53,0:01:23,0:24:43,0:06:30,0:28:35,2:15:27,3:01:31
wordle_withcritic,ID,0:07:40,0:30:47,0:18:33,1:18:37,0:11:32,0:19:25,0:19:50,0:13:42,0:16:43,0:33:23,0:02:56,0:33:10,0:06:45,0:11:11,3:20:32,10:24:41
bbh,ID_static,0:12:37,0:10:56,0:14:32,0:23:42,0:09:23,0:01:37,0:04:32,0:00:10,0:04:02,0:15:18,0:04:26,0:14:57,0:06:12,0:11:43,1:34:53,1:33:02
cladder,ID_static,0:32:15,0:47:35,0:57:07,2:03:42,0:32:37,0:12:42,0:06:34,0:00:10,0:02:16,0:50:15,0:04:24,0:52:08,0:15:10,1:01:28,6:49:27,2:38:34
eqbench,ID_static,0:00:33,0:02:33,0:00:45,0:01:24,0:00:33,0:01:16,0:00:31,0:00:29,0:00:31,0:00:51,0:00:51,0:00:50,0:00:38,0:00:46,0:19:10,0:25:05
ifeval,ID_static,0:34:18,0:11:59,0:12:10,0:23:41,0:12:14,0:09:53,0:32:37,0:24:23,0:15:13,0:33:26,0:25:27,0:31:05,0:30:12,0:11:10,2:57:02,1:05:13
mmlu_pro,ID_static,0:00:28,0:00:22,0:00:26,0:00:55,0:00:49,0:00:24,0:00:15,0:00:16,0:00:15,0:00:20,0:00:20,0:00:21,0:00:31,0:00:27,0:25:26,0:12:16
chronicle,OOD,0:09:22,0:17:53,1:48:54,1:54:46,1:56:08,0:14:34,0:07:28,0:05:10,0:09:18,0:43:02,0:09:38,0:42:35,0:00:58,1:00:37,7:07:46,3:09:31
clockwork_courier,OOD,0:49:33,2:40:57,3:51:18,4:47:38,0:09:10,1:33:03,1:02:14,0:46:16,1:06:36,3:58:44,0:03:31,4:00:45,0:34:39,4:00:47,38:40:21,1:57:58
cryptolect,OOD,1:15:54,2:23:50,3:02:06,6:11:45,0:03:00,0:33:30,1:25:12,0:01:48,1:04:12,2:12:19,0:13:58,2:10:08,1:06:45,2:41:07,7:19:28,3:14:31
get_to_the_point,OOD,0:00:20,0:00:33,0:00:21,0:00:26,0:00:20,0:00:11,0:00:08,0:00:08,0:00:08,0:00:13,0:00:10,0:00:12,0:00:10,0:00:19,0:11:43,0:03:12
st_clean_up,OOD,0:03:14,0:04:32,0:06:06,0:05:42,0:04:25,0:03:08,0:01:48,0:01:23,0:02:33,0:42:12,0:02:01,0:42:51,0:24:52,0:05:36,0:29:43,1:21:22
ta_blackjack,OOD,0:48:18,0:01:40,0:04:01,0:01:17,0:02:25,0:00:37,0:06:24,0:06:22,0:00:28,0:00:24,0:00:26,0:00:24,0:05:42,0:00:38,0:48:27,2:18:40
ta_frozen_lake,OOD,5:06:11,0:03:12,0:00:16,0:00:44,0:12:39,0:00:14,0:00:08,0:00:10,0:00:16,0:01:15,0:15:42,0:01:11,0:09:07,0:00:16,0:22:27,2:35:57
ta_mastermind,OOD,0:00:29,2:41:09,1:45:57,0:56:27,0:06:24,0:00:35,0:00:29,0:00:30,0:00:19,1:33:40,0:00:48,1:33:50,0:01:15,1:32:37,1:22:51,5:06:40
ta_sokoban,OOD,2:27:02,0:00:04,1:25:00,2:26:16,1:34:13,0:30:08,0:22:05,0:14:20,0:00:24,0:00:30,0:00:45,0:00:30,0:00:29,1:17:25,0:35:06,1:08:00
toh_multi_turn,OOD,1:03:56,2:02:12,2:41:41,0:23:12,0:09:57,0:00:21,0:00:22,0:00:11,0:00:14,0:00:40,0:00:21,0:00:41,0:03:54,0:16:01,1:45:55,3:46:04
wordle-crazy,OOD,0:00:26,0:41:04,1:01:26,1:50:41,0:02:10,0:51:55,0:20:39,0:01:14,0:30:38,1:02:25,0:01:44,1:01:30,0:05:03,1:00:58,11:21:34,2:23:50
wordle-crazy_withclue,OOD,0:10:00,0:37:29,0:25:48,0:45:13,0:14:07,0:07:29,0:15:29,0:00:32,0:01:04,0:25:27,0:01:23,0:26:02,0:05:56,0:25:04,1:41:57,2:59:57
wordle-crazy_withcritic,OOD,0:07:57,0:27:31,0:35:04,1:18:07,0:19:55,0:14:12,0:07:39,0:07:46,0:04:35,0:31:38,0:03:00,0:32:16,0:04:33,0:17:44,2:02:16,9:31:48
TOTAL,,19:12:38,22:25:49,23:18:48,32:11:03,7:49:56,7:49:28,7:00:19,3:07:58,5:23:52,18:26:37,2:55:35,18:23:11,5:00:26,17:43:11,132:33:18,91:12:02
