model,team,version,playpen_clemscore,playpen_statscore,"indomain_-, clemscore","indomain_all, Average % Played","indomain_all, Average Quality Score","outofdomain_-, clemscore","outofdomain_all, Average % Played","outofdomain_all, Average Quality Score","indomain_adventuregame, % Played","indomain_adventuregame, Quality Score","indomain_bbh, % Played","indomain_bbh, Quality Score","indomain_cladder, % Played","indomain_cladder, Quality Score","indomain_clean_up, % Played","indomain_clean_up, Quality Score","indomain_codenames, % Played","indomain_codenames, Quality Score","indomain_dond, % Played","indomain_dond, Quality Score","indomain_eqbench, % Played","indomain_eqbench, Quality Score","indomain_guesswhat, % Played","indomain_guesswhat, Quality Score","indomain_ifeval, % Played","indomain_ifeval, Quality Score","indomain_imagegame, % Played","indomain_imagegame, Quality Score","indomain_matchit_ascii, % Played","indomain_matchit_ascii, Quality Score","indomain_mmlu_pro, % Played","indomain_mmlu_pro, Quality Score","indomain_privateshared, % Played","indomain_privateshared, Quality Score","indomain_referencegame, % Played","indomain_referencegame, Quality Score","indomain_taboo, % Played","indomain_taboo, Quality Score","indomain_textmapworld, % Played","indomain_textmapworld, Quality Score","indomain_textmapworld_graphreasoning, % Played","indomain_textmapworld_graphreasoning, Quality Score","indomain_textmapworld_specificroom, % Played","indomain_textmapworld_specificroom, Quality Score","indomain_wordle, % Played","indomain_wordle, Quality Score","indomain_wordle_withclue, % Played","indomain_wordle_withclue, Quality Score","indomain_wordle_withcritic, % Played","indomain_wordle_withcritic, Quality Score","outofdomain_chronicle, % Played","outofdomain_chronicle, Quality Score","outofdomain_clockwork_courier, % Played","outofdomain_clockwork_courier, Quality Score","outofdomain_cryptolect, % Played","outofdomain_cryptolect, Quality Score","outofdomain_get_to_the_point, % Played","outofdomain_get_to_the_point, Quality Score","outofdomain_st_clean_up, % Played","outofdomain_st_clean_up, Quality Score","outofdomain_ta_blackjack, % Played","outofdomain_ta_blackjack, Quality Score","outofdomain_ta_frozen_lake, % Played","outofdomain_ta_frozen_lake, Quality Score","outofdomain_ta_mastermind, % Played","outofdomain_ta_mastermind, Quality Score","outofdomain_ta_sokoban, % Played","outofdomain_ta_sokoban, Quality Score","outofdomain_toh_multi_turn, % Played","outofdomain_toh_multi_turn, Quality Score","outofdomain_wordle-crazy, % Played","outofdomain_wordle-crazy, Quality Score","outofdomain_wordle-crazy_withclue, % Played","outofdomain_wordle-crazy_withclue, Quality Score","outofdomain_wordle-crazy_withcritic, % Played","outofdomain_wordle-crazy_withcritic, Quality Score"
qwen3.5-4b,,,33.71,37.16,34.02,67.56,50.36,17.99,45.51,39.52,57.5,68.12,100.0,0.0,100.0,54.0,55.56,29.31,0.0,,72.5,5.95,98.0,68.68,0.0,,100.0,82.0,82.5,74.36,100.0,67.5,100.0,40.0,76.0,15.97,100.0,53.33,100.0,39.44,100.0,54.89,70.0,59.57,53.33,93.75,26.67,25.0,16.67,75.0,10.0,50.0,96.67,19.25,10.0,23.33,33.33,7.0,82.5,8.08,83.33,18.05,55.0,47.27,96.67,51.29,40.0,100.0,0.0,,54.17,16.67,10.0,0.0,10.0,100.0,20.0,83.33
qwen3.5-9b,,,33.28,54.53,41.12,69.27,59.36,24.91,55.26,45.07,87.5,84.76,100.0,0.0,100.0,50.0,77.78,31.41,0.0,,47.5,39.45,100.0,73.99,0.0,,100.0,82.0,82.5,91.79,100.0,80.0,100.0,45.0,80.0,26.25,100.0,71.11,100.0,45.0,66.0,56.89,93.33,57.73,73.33,100.0,13.33,12.5,16.67,90.0,16.67,90.0,95.0,29.3,53.33,40.62,30.0,35.56,80.0,15.1,100.0,28.54,100.0,48.0,100.0,51.25,60.0,100.0,10.0,0.0,33.33,4.17,10.0,33.33,23.33,100.0,23.33,100.0
qwen3.5-2b,,,11.43,27.26,13.41,47.32,28.33,3.72,35.19,10.56,0.0,,100.0,0.0,100.0,52.0,66.67,3.17,0.0,,30.0,0.0,97.0,63.2,0.0,,100.0,64.0,80.0,12.03,100.0,75.0,100.0,23.0,0.0,,100.0,45.56,93.33,8.63,0.0,,0.0,,0.0,,16.67,0.0,6.67,50.0,3.33,0.0,100.0,5.02,0.0,,56.67,0.0,40.0,0.0,83.33,11.65,80.0,23.33,50.0,26.11,0.0,,10.0,0.0,20.83,0.0,3.33,0.0,6.67,50.0,6.67,0.0
llama-3.1-8b-instruct,,,22.19,49.26,31.24,69.37,45.03,22.62,62.22,36.36,75.0,88.89,100.0,0.0,100.0,50.0,61.11,42.84,60.77,17.72,77.5,4.39,100.0,65.98,91.67,9.7,100.0,72.0,40.0,39.31,100.0,62.5,79.0,25.32,70.0,55.91,100.0,41.11,98.33,50.0,30.0,51.58,23.33,49.52,63.33,100.0,50.0,14.0,26.67,60.42,10.0,44.44,96.67,11.99,100.0,1.17,86.67,3.85,50.0,20.0,100.0,40.63,100.0,42.67,93.33,42.56,35.0,73.21,55.56,33.33,25.0,0.0,50.0,3.33,13.33,100.0,3.33,100.0
qwen3.5-27b,,,62.34,70.18,64.34,91.56,70.27,43.51,68.01,63.98,100.0,90.83,100.0,24.04,100.0,62.0,100.0,73.16,77.69,38.61,100.0,33.94,100.0,84.72,98.33,64.41,100.0,82.0,100.0,94.78,100.0,90.0,100.0,64.0,100.0,54.32,100.0,93.33,96.67,85.06,100.0,72.66,100.0,71.42,96.67,100.0,36.67,30.91,66.67,75.42,50.0,90.0,76.67,64.3,86.67,85.46,50.0,66.67,65.0,21.15,100.0,45.35,100.0,49.0,100.0,70.69,75.0,91.67,50.0,80.0,54.17,29.17,10.0,33.33,63.33,100.0,53.33,95.0
LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems,llp-final,54.61,48.63,59.23,88.91,66.62,22.09,59.74,36.97,100.0,90.0,100.0,33.65,100.0,53.0,83.33,18.35,70.77,43.48,100.0,39.19,99.0,75.46,98.33,18.64,100.0,68.0,100.0,98.85,100.0,97.5,99.0,43.43,100.0,59.63,100.0,87.78,100.0,78.89,100.0,85.79,100.0,85.52,100.0,100.0,40.0,54.17,36.67,86.36,40.0,81.25,100.0,22.71,53.33,26.13,93.33,4.64,92.5,0.0,0.0,,100.0,41.33,93.33,49.11,0.0,,20.0,50.0,20.83,0.0,36.67,24.55,90.0,92.59,76.67,95.65
DAIR__qwen3.5-2b__sft-v1,DAIR,sft-v1,46.34,22.86,46.57,83.65,55.67,15.62,54.36,28.74,50.0,95.0,100.0,5.77,100.0,50.0,100.0,9.22,64.62,39.29,100.0,58.15,99.0,65.43,98.33,33.33,100.0,41.0,100.0,96.95,100.0,92.5,100.0,25.0,100.0,49.95,100.0,82.22,100.0,58.33,78.0,73.28,100.0,74.95,96.67,100.0,33.33,8.0,23.33,35.71,13.33,75.0,100.0,3.78,10.0,0.0,60.0,0.0,97.5,0.0,83.33,15.27,80.0,40.0,60.0,29.86,10.0,12.5,0.0,,12.5,0.0,23.33,47.14,80.0,100.0,90.0,96.3
Dialogue Architects__qwen3.5-9b__SCoRe_Qwen3.5-9B,Dialogue Architects,SCoRe_Qwen3.5-9B,37.6,52.61,43.12,71.94,59.94,23.37,52.88,44.2,77.5,83.87,100.0,0.0,100.0,51.0,83.33,28.35,0.0,,70.0,31.12,100.0,74.5,0.0,,100.0,80.0,80.0,90.59,100.0,82.5,100.0,45.0,80.0,27.13,100.0,71.11,100.0,50.0,90.0,60.48,93.33,61.96,80.0,100.0,23.33,42.86,13.33,87.5,20.0,70.83,93.33,30.48,63.33,32.62,26.67,10.0,77.5,13.17,83.33,16.37,100.0,41.0,100.0,53.47,30.0,87.5,50.0,80.0,0.0,0.0,16.67,10.0,23.33,100.0,23.33,100.0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL,Qwen-GuidePlay-2B-v1,50.44,36.74,46.26,82.67,55.96,10.25,47.05,21.78,10.0,66.67,100.0,34.62,100.0,52.0,94.44,5.31,67.69,36.36,100.0,69.19,89.0,48.2,98.33,45.2,100.0,44.0,100.0,94.3,100.0,80.0,100.0,25.0,100.0,53.77,100.0,76.67,100.0,45.0,100.0,75.77,90.0,69.81,96.67,100.0,50.0,3.33,13.33,75.0,26.67,75.0,100.0,3.33,10.0,0.0,100.0,0.0,85.0,0.0,66.67,9.8,0.0,,70.0,30.75,0.0,,10.0,0.0,0.0,0.0,16.67,0.0,76.67,100.0,76.67,95.65
Bentel rockers__qwen3.5-4b__Bentel_iter_2,Bentel rockers,Bentel_iter_2,29.67,60.74,31.97,77.95,41.01,10.19,54.87,18.58,65.0,3.85,100.0,30.77,100.0,54.0,100.0,4.58,0.0,,90.0,2.35,99.0,61.89,98.33,33.33,100.0,36.0,100.0,97.52,100.0,52.5,100.0,36.0,100.0,18.89,100.0,53.33,100.0,33.61,98.0,58.96,0.0,,73.33,100.0,43.33,1.54,33.33,50.0,36.67,50.0,86.67,14.13,73.33,0.0,56.67,0.0,100.0,0.0,50.0,15.06,80.0,44.17,93.33,37.5,10.0,56.25,40.0,8.33,16.67,0.0,56.67,0.0,23.33,28.57,26.67,37.5
DAIR__qwen3.5-2b__sft-dpo-v2,DAIR,sft-dpo-v2,49.03,26.87,50.75,85.85,59.12,14.56,56.73,25.67,60.0,93.06,100.0,10.58,100.0,49.0,94.12,9.41,75.38,35.71,100.0,86.38,100.0,69.04,96.67,55.17,100.0,41.0,100.0,97.98,100.0,97.5,100.0,28.0,100.0,57.09,100.0,82.22,100.0,64.17,90.0,72.24,100.0,75.48,100.0,100.0,40.0,7.5,30.0,50.0,16.67,60.0,100.0,1.67,30.0,0.0,80.0,0.0,97.5,0.0,50.0,16.07,100.0,41.0,53.33,39.32,0.0,,30.0,0.0,0.0,0.0,26.67,10.0,90.0,100.0,80.0,100.0
Bentel rockers__qwen3.5-4b__Bentel_iter,Bentel rockers,Bentel_iter,36.09,35.75,37.41,73.03,51.22,16.6,46.99,35.32,75.0,51.11,100.0,20.19,100.0,52.0,83.33,28.67,19.23,28.0,80.0,20.19,98.0,67.4,93.33,25.0,100.0,77.0,55.0,62.77,100.0,80.0,100.0,36.0,78.0,23.01,96.67,67.82,91.67,45.45,100.0,53.7,50.0,61.62,86.67,88.46,0.0,,20.0,61.11,6.67,75.0,100.0,17.35,40.0,8.75,23.33,17.14,97.5,0.0,50.0,23.34,70.0,47.62,90.0,35.8,20.0,100.0,40.0,0.0,33.33,4.17,13.33,5.0,20.0,100.0,13.33,100.0
Bentel rockers__qwen3.5-4b__Bentel_iter_3,Bentel rockers,Bentel_iter_3,36.09,35.75,37.76,73.27,51.53,16.6,46.99,35.32,80.0,57.29,100.0,20.19,100.0,52.0,83.33,28.67,19.23,28.0,80.0,20.19,98.0,67.4,93.33,25.0,100.0,77.0,55.0,62.77,100.0,80.0,100.0,36.0,78.0,23.01,96.67,67.82,91.67,45.45,100.0,53.7,50.0,61.62,86.67,88.46,0.0,,20.0,61.11,6.67,75.0,100.0,17.35,40.0,8.75,23.33,17.14,97.5,0.0,50.0,23.34,70.0,47.62,90.0,35.8,20.0,100.0,40.0,0.0,33.33,4.17,13.33,5.0,20.0,100.0,13.33,100.0
playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,playornotplay,playornotplay-v1.0-merged-fp32-7263076,39.9,18.94,41.17,82.62,49.83,7.88,33.08,23.81,100.0,58.33,100.0,39.42,100.0,50.0,88.89,4.85,46.92,29.51,100.0,39.75,89.0,52.09,100.0,18.33,100.0,50.0,97.5,71.46,100.0,85.0,100.0,28.0,56.0,38.69,100.0,43.33,100.0,47.78,100.0,57.91,100.0,70.99,100.0,53.33,43.33,7.69,10.0,100.0,3.33,100.0,3.33,0.0,56.67,0.0,33.33,2.0,35.0,0.0,33.33,4.85,25.0,18.67,40.0,55.56,15.0,33.33,10.0,0.0,25.0,0.0,80.0,4.17,36.67,100.0,36.67,90.91
BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,BSU-SLIM,prm-search-best_of_n,36.61,49.92,39.64,91.3,43.42,15.18,59.49,25.52,45.0,57.41,100.0,1.92,100.0,46.0,100.0,31.29,33.08,13.95,100.0,10.84,99.0,68.4,96.67,43.68,100.0,75.0,100.0,63.38,100.0,60.0,99.0,43.43,100.0,30.48,97.78,57.95,100.0,46.11,100.0,59.25,73.33,78.29,76.67,86.96,100.0,3.33,100.0,25.39,96.67,8.74,100.0,19.15,0.0,,0.0,,95.0,2.63,83.33,21.1,100.0,40.0,83.33,78.0,10.0,25.0,0.0,,8.33,0.0,93.33,0.0,100.0,46.67,100.0,22.67
SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,SLED-BSU,prm-guided-best_of_n,46.9,63.8,56.36,90.39,62.35,30.02,67.88,44.23,100.0,48.33,100.0,38.46,100.0,61.0,38.89,16.66,89.23,39.66,100.0,71.99,100.0,80.58,96.67,56.9,100.0,81.0,100.0,99.1,100.0,87.5,100.0,60.0,100.0,77.74,100.0,83.33,100.0,81.67,100.0,44.21,100.0,67.81,100.0,60.0,70.0,25.71,53.33,68.75,50.0,58.89,96.67,36.02,73.33,56.73,100.0,16.67,80.0,14.32,33.33,19.41,100.0,38.0,100.0,62.92,35.0,69.64,0.0,,37.5,8.33,76.67,21.3,73.33,91.82,76.67,95.65
